time,z500,t850,t2m,u10,v10
2006-01-01 00:00:00,56448.785,276.7139,289.86612,-3.6563542,9.718224
2006-01-01 06:00:00,56484.504,277.22867,290.29214,0.4031414,6.369041
2006-01-01 12:00:00,56670.516,279.81015,290.67078,3.118312,2.677022
2006-01-01 18:00:00,56576.746,279.92966,290.01294,1.6769062,7.025414
2006-01-02 00:00:00,56666.504,279.58118,289.51785,-1.4137425,9.20469
2006-01-02 06:00:00,56798.188,279.17368,289.7796,-4.6405516,8.144372
2006-01-02 12:00:00,57060.98,279.85007,290.44336,-3.8932781,5.848929
2006-01-02 18:00:00,57226.77,281.61826,290.44638,-5.6625724,1.3362408
2006-01-03 00:00:00,57321.605,283.34818,290.5444,-8.249484,-2.0579026
2006-01-03 06:00:00,57024.16,283.05038,291.26782,-6.106938,-2.8686016
2006-01-03 12:00:00,56797.27,283.94223,291.1327,-4.1255565,-2.5859578
2006-01-03 18:00:00,56717.938,286.55038,292.02325,0.9550407,-5.1862645
2006-01-04 00:00:00,56841.188,285.95734,291.75272,3.488046,0.026907584
2006-01-04 06:00:00,56980.754,285.97177,291.62686,4.703555,0.75158405
2006-01-04 12:00:00,57031.824,287.26486,292.54147,3.7278907,0.78535813
2006-01-04 18:00:00,57029.78,286.4246,292.5779,5.987722,1.0394354
2006-01-05 00:00:00,57146.72,287.12445,292.28738,8.025779,-1.688766
2006-01-05 06:00:00,57266.8,287.0593,292.77713,10.66509,-3.427868
2006-01-05 12:00:00,57429.676,286.15842,293.0273,11.268373,-4.129538
2006-01-05 18:00:00,57285.496,285.91074,291.5753,11.713977,-2.8416195
2006-01-06 00:00:00,57220.51,286.24564,290.325,10.097361,-2.7061422
2006-01-06 06:00:00,57057.14,287.6106,289.92514,6.7329063,-1.0794951
2006-01-06 12:00:00,56938.625,286.16507,290.88345,4.3092666,-4.214522
2006-01-06 18:00:00,56692.0,286.73544,291.92944,6.4275017,-3.7609596
2006-01-07 00:00:00,56470.234,285.31213,291.5099,6.7273116,-2.4153621
2006-01-07 06:00:00,56139.94,284.37943,291.7307,9.055782,0.35233864
2006-01-07 12:00:00,56035.832,283.50275,291.33667,9.974374,4.166046
2006-01-07 18:00:00,56105.72,283.04044,290.36594,8.1270685,8.914957
2006-01-08 00:00:00,56417.95,283.3758,290.28574,3.275204,10.487566
2006-01-08 06:00:00,56559.395,284.5178,290.71158,-2.021743,10.165821
2006-01-08 12:00:00,56757.332,285.43832,291.4866,-4.4954243,8.552253
2006-01-08 18:00:00,56899.3,286.62137,291.9861,-3.5691385,7.223387
2006-01-09 00:00:00,57123.74,288.82742,291.82642,-0.109124005,5.980931
2006-01-09 06:00:00,57163.562,286.9289,292.03842,3.4296954,5.745302
2006-01-09 12:00:00,57218.37,286.30432,291.8905,5.560225,6.7014046
2006-01-09 18:00:00,57284.72,286.66916,291.02167,8.83401,6.9160805
2006-01-10 00:00:00,57455.676,287.7711,290.27432,5.9343734,6.2458205
2006-01-10 06:00:00,57454.55,287.23206,289.48828,2.0424392,4.671019
2006-01-10 12:00:00,57525.527,287.96957,288.834,-2.6830263,5.087
2006-01-10 18:00:00,57577.406,288.11343,289.12112,-5.356193,4.737236
2006-01-11 00:00:00,57680.28,288.40976,289.82816,-8.0134535,1.3954725
2006-01-11 06:00:00,57687.938,288.9165,291.97836,-6.613629,-3.4192066
2006-01-11 12:00:00,57682.26,292.28555,292.43716,-6.8606224,-3.7979622
2006-01-11 18:00:00,57534.797,295.83487,292.40237,-5.4342933,-3.1505263
2006-01-12 00:00:00,57381.863,293.14908,292.37234,-2.7680397,-1.2475505
2006-01-12 06:00:00,57035.02,291.2595,292.27908,-0.48833004,-2.5568888
2006-01-12 12:00:00,56803.082,290.51755,292.34143,5.270722,-3.4488404
2006-01-12 18:00:00,56442.0,287.36002,291.48706,7.939263,-0.3784132
2006-01-13 00:00:00,56239.23,282.053,290.01294,8.909844,5.1056933
2006-01-13 06:00:00,56274.03,280.7518,289.8218,7.631822,8.664805
2006-01-13 12:00:00,56532.613,281.4146,289.95984,6.373398,10.93996
2006-01-13 18:00:00,56702.188,280.64273,290.44852,0.6986305,7.0089817
2006-01-14 00:00:00,56984.582,280.69302,291.61038,-5.597029,1.1598574
2006-01-14 06:00:00,57125.72,281.2321,291.90366,-9.264884,-4.145473
2006-01-14 12:00:00,57280.457,282.92227,292.62906,-9.112943,-5.406175
2006-01-14 18:00:00,57070.125,285.88474,292.86234,-7.207829,-6.4707904
2006-01-15 00:00:00,56692.28,288.16013,292.282,-1.9521552,-9.117047
2006-01-15 06:00:00,56142.746,288.2342,291.2443,6.0502934,-3.4732454
2006-01-15 12:00:00,56087.656,287.7327,291.3317,7.0333085,1.9839392
2006-01-15 18:00:00,56303.176,288.67047,291.50784,6.22909,6.1186066
2006-01-16 00:00:00,56666.484,288.82285,290.4042,6.254902,6.0611877
2006-01-16 06:00:00,56897.3,288.45798,290.51767,4.8475485,2.9130647
2006-01-16 12:00:00,56968.082,287.7002,290.91208,5.815677,-0.96526176
2006-01-16 18:00:00,56720.793,288.90958,291.39413,5.940868,-2.2231233
2006-01-17 00:00:00,56739.395,288.17654,291.47787,3.7566907,1.3715976
2006-01-17 06:00:00,56653.125,286.71356,290.7225,4.3136654,2.9566748
2006-01-17 12:00:00,56685.76,286.72147,290.15186,3.32009,3.921076
2006-01-17 18:00:00,56552.527,286.1566,290.07962,0.32241425,3.6610463
2006-01-18 00:00:00,56311.605,284.7852,290.13974,-1.6127682,0.6440305
2006-01-18 06:00:00,56066.535,285.18127,290.94095,1.4764677,-3.3177502
2006-01-18 12:00:00,55970.25,286.64053,291.46472,1.1382095,1.1529043
2006-01-18 18:00:00,55498.574,285.0712,291.23425,5.021006,4.0487957
2006-01-19 00:00:00,55002.28,281.14484,289.7549,5.7743363,4.5840135
2006-01-19 06:00:00,54407.156,277.16547,289.47647,6.4040227,4.332162
2006-01-19 12:00:00,54383.105,276.2878,289.83728,6.826758,5.4171453
2006-01-19 18:00:00,54156.996,275.36972,289.6773,10.932003,6.1709495
2006-01-20 00:00:00,54115.75,275.40598,288.85287,14.420056,7.772425
2006-01-20 06:00:00,53986.5,273.9305,288.3712,14.932335,10.264467
2006-01-20 12:00:00,54303.906,273.43457,287.7977,12.288028,10.511279
2006-01-20 18:00:00,54791.7,273.4352,287.24796,11.03439,8.242537
2006-01-21 00:00:00,55129.938,273.5898,287.5703,9.536563,6.2957377
2006-01-21 06:00:00,55145.24,274.1853,287.9205,8.906086,1.4701511
2006-01-21 12:00:00,55266.473,275.88132,288.84836,8.998992,-2.8566992
2006-01-21 18:00:00,55290.03,278.90237,289.5251,9.88907,-2.011096
2006-01-22 00:00:00,55743.293,280.70776,289.85825,9.162535,0.87247163
2006-01-22 06:00:00,55918.984,279.57382,290.0532,9.567056,-1.2587794
2006-01-22 12:00:00,55866.98,279.04453,289.8027,7.258219,-2.6586223
2006-01-22 18:00:00,55861.938,279.98663,290.0174,4.2314334,-0.32000265
2006-01-23 00:00:00,56026.7,280.0422,289.72238,1.2362707,2.6193652
2006-01-23 06:00:00,56102.355,279.0787,289.83762,-0.7083724,-0.47010407
2006-01-23 12:00:00,56231.938,279.9024,291.41177,-0.36305308,1.1495306
2006-01-23 18:00:00,56373.51,281.48648,290.7765,1.7201098,5.2967076
2006-01-24 00:00:00,56566.605,282.48416,291.3257,-1.1022749,6.2302055
2006-01-24 06:00:00,56609.246,282.55267,292.12662,1.2666851,4.2278876
2006-01-24 12:00:00,56892.688,282.18854,292.06143,-2.315935,7.8484883
2006-01-24 18:00:00,56990.906,282.52805,291.1854,-8.150538,7.968003
2006-01-25 00:00:00,57103.887,281.8621,290.80725,-9.000194,4.6463904
2006-01-25 06:00:00,57069.082,282.7673,291.11823,-9.876941,2.8564425
2006-01-25 12:00:00,57137.793,284.6044,291.3387,-9.790826,3.5088034
2006-01-25 18:00:00,57121.39,284.4114,291.41772,-6.901188,1.9464374
2006-01-26 00:00:00,57032.473,284.4255,292.0701,-4.850425,-3.7106323
2006-01-26 06:00:00,56780.7,284.2593,291.5874,-4.4810157,0.57792795
2006-01-26 12:00:00,56657.7,283.4686,291.11755,-3.4376533,6.900339
2006-01-26 18:00:00,56629.668,283.59793,290.83102,-3.113229,9.379636
2006-01-27 00:00:00,56579.875,283.4335,290.91074,-0.39677155,6.4190516
2006-01-27 06:00:00,56463.01,283.63913,291.0082,3.6318512,7.00269
2006-01-27 12:00:00,56655.2,283.99036,291.90475,5.513263,8.087888
2006-01-27 18:00:00,56755.207,283.5408,292.5535,2.3451471,11.273168
2006-01-28 00:00:00,56943.207,283.71307,291.81485,-2.259095,10.287227
2006-01-28 06:00:00,57074.715,283.67752,292.06522,-2.8918552,7.186774
2006-01-28 12:00:00,57228.562,283.30786,292.63297,-1.3762985,5.246841
2006-01-28 18:00:00,57396.543,284.73087,292.68555,-2.3171825,7.485737
2006-01-29 00:00:00,57652.613,285.2421,292.59683,-4.2122893,2.4977787
2006-01-29 06:00:00,57681.88,284.78812,292.74533,2.402019,-0.75754577
2006-01-29 12:00:00,57522.06,285.46518,293.27213,4.423513,-2.8394253
2006-01-29 18:00:00,57267.703,285.77966,293.4289,5.1439986,1.2893624
2006-01-30 00:00:00,57262.605,285.8541,292.18613,-1.4060465,6.1313834
2006-01-30 06:00:00,57286.77,283.8087,291.80212,-0.92729354,5.5264554
2006-01-30 12:00:00,57477.504,283.2454,291.7713,1.1182377,4.3876495
2006-01-30 18:00:00,57525.89,285.76462,291.96072,-2.638975,4.1989865
2006-01-31 00:00:00,57478.375,285.52158,293.01364,-7.340444,-4.899377
2006-01-31 06:00:00,57201.363,287.7384,293.66367,-2.2885256,-9.81211
2006-01-31 12:00:00,56997.004,287.50967,293.48837,-0.13856627,-2.3751566
2006-01-31 18:00:00,56977.215,286.32742,293.55765,4.8844786,2.2835321
2006-02-01 00:00:00,57115.957,285.58896,293.5437,5.0872607,6.0701656
2006-02-01 06:00:00,57155.05,285.40353,293.11014,3.3388891,5.2992873
2006-02-01 12:00:00,57201.363,285.6597,293.02512,0.9523964,4.266564
