time,z500,t850,t2m,u10,v10
2006-01-01 00:00:00,57455.75,285.4514,297.24686,-5.3642554,-5.6851306
2006-01-01 06:00:00,57371.312,285.40445,296.80405,-2.8950567,-5.3622766
2006-01-01 12:00:00,57454.395,286.49472,297.06647,-1.9632024,-7.6630936
2006-01-01 18:00:00,57303.754,285.4615,296.34976,-1.1449426,-7.085575
2006-01-02 00:00:00,57355.426,286.44635,296.32785,-3.304406,-7.2973056
2006-01-02 06:00:00,57222.285,285.9477,297.14575,-1.8703674,-2.9899938
2006-01-02 12:00:00,57399.094,287.38156,297.97757,-3.9908726,-1.1603159
2006-01-02 18:00:00,57347.234,287.8608,298.81747,-4.751059,3.2375069
2006-01-03 00:00:00,57490.26,286.12128,298.88257,-4.9544873,2.70637
2006-01-03 06:00:00,57423.16,286.60498,298.59177,-2.9340515,1.1481136
2006-01-03 12:00:00,57558.98,287.76437,299.18637,-3.8764296,-0.5599861
2006-01-03 18:00:00,57467.77,287.92175,299.14328,-3.963214,-3.062957
2006-01-04 00:00:00,57522.98,286.9196,298.509,-5.3046465,-5.3403473
2006-01-04 06:00:00,57346.16,287.0974,297.6536,-3.4815776,-4.660028
2006-01-04 12:00:00,57493.0,287.59457,298.46326,-3.0531108,-3.5614643
2006-01-04 18:00:00,57471.996,288.20554,298.57462,-2.5681856,-3.8080466
2006-01-05 00:00:00,57621.707,287.54153,297.28842,-3.5585067,-5.6018085
2006-01-05 06:00:00,57460.316,287.09616,297.63705,-3.6063397,-5.0744977
2006-01-05 12:00:00,57536.156,285.7511,298.41614,-4.5062404,-4.5370994
2006-01-05 18:00:00,57429.707,284.39044,298.55768,-3.7152855,-4.205199
2006-01-06 00:00:00,57512.13,283.8921,298.77087,-4.025129,-5.478592
2006-01-06 06:00:00,57387.812,283.40744,298.04556,-5.184862,-3.6804829
2006-01-06 12:00:00,57547.2,283.70047,297.73193,-6.4641743,-5.325149
2006-01-06 18:00:00,57504.188,286.1329,297.7314,-6.322333,-4.5382323
2006-01-07 00:00:00,57628.44,285.72778,297.52853,-7.534103,-5.800053
2006-01-07 06:00:00,57513.203,284.237,298.2183,-7.493321,-5.3906097
2006-01-07 12:00:00,57579.51,285.2628,298.5977,-9.196969,-6.624748
2006-01-07 18:00:00,57479.76,285.56857,298.1948,-9.610427,-4.825159
2006-01-08 00:00:00,57603.27,285.4606,297.6002,-8.452226,-5.2468467
2006-01-08 06:00:00,57500.19,286.1789,296.8248,-9.2277975,-7.4950943
2006-01-08 12:00:00,57595.188,287.05893,296.43008,-9.508898,-7.711946
2006-01-08 18:00:00,57547.453,287.3059,297.63303,-9.626648,-6.6905212
2006-01-09 00:00:00,57684.812,287.91125,297.67575,-9.680992,-5.036901
2006-01-09 06:00:00,57583.207,288.2216,297.46454,-8.041499,-5.8824368
2006-01-09 12:00:00,57694.965,288.15213,297.53232,-7.278688,-6.0485444
2006-01-09 18:00:00,57621.043,288.41638,297.08105,-7.7254777,-5.976818
2006-01-10 00:00:00,57724.125,287.71445,296.56165,-8.776469,-8.772321
2006-01-10 06:00:00,57556.527,287.0006,296.36267,-8.437591,-7.599556
2006-01-10 12:00:00,57637.074,288.0032,296.54083,-6.919988,-7.02126
2006-01-10 18:00:00,57497.094,288.66125,296.65298,-6.0930476,-6.1631317
2006-01-11 00:00:00,57566.957,288.22006,296.49716,-4.98809,-4.579447
2006-01-11 06:00:00,57432.24,288.03412,296.3032,-3.9543316,-6.3822227
2006-01-11 12:00:00,57543.62,288.46564,297.47186,-4.8350554,-2.6801136
2006-01-11 18:00:00,57469.047,290.04248,298.42047,-5.088288,-1.0238843
2006-01-12 00:00:00,57543.8,289.03735,298.52808,-5.658453,-3.5437758
2006-01-12 06:00:00,57372.3,288.93457,297.639,-6.5930843,-5.1370087
2006-01-12 12:00:00,57528.51,290.11722,297.91556,-6.8676486,-1.7732061
2006-01-12 18:00:00,57460.402,290.83752,298.4927,-5.8128314,0.08594187
2006-01-13 00:00:00,57635.137,290.83456,298.06296,-7.660852,-2.3821733
2006-01-13 06:00:00,57529.2,290.419,296.96094,-7.9787784,-3.6439457
2006-01-13 12:00:00,57642.203,290.8189,297.0803,-7.8403378,-3.6702328
2006-01-13 18:00:00,57542.53,290.76114,297.20386,-7.8493285,-1.7382812
2006-01-14 00:00:00,57663.176,290.321,296.6766,-7.3341637,-1.7537564
2006-01-14 06:00:00,57541.05,288.18655,296.73544,-7.277617,0.21236505
2006-01-14 12:00:00,57684.73,288.67844,296.69324,-6.5704575,-1.6531655
2006-01-14 18:00:00,57569.168,288.33664,295.89743,-6.128479,-3.274902
2006-01-15 00:00:00,57691.855,287.5762,296.1793,-7.009561,-5.797821
2006-01-15 06:00:00,57550.0,285.7136,295.5861,-7.911106,-8.882904
2006-01-15 12:00:00,57637.62,286.1702,294.40536,-7.2785625,-8.716701
2006-01-15 18:00:00,57490.145,286.8066,293.66296,-7.0195255,-8.876643
2006-01-16 00:00:00,57633.28,286.4676,293.8581,-8.02535,-8.561384
2006-01-16 06:00:00,57508.574,286.58032,294.85052,-7.9379373,-7.1241875
2006-01-16 12:00:00,57706.5,286.8368,295.71814,-8.131106,-5.202781
2006-01-16 18:00:00,57660.113,288.1703,296.4918,-7.701654,-3.3987207
2006-01-17 00:00:00,57811.02,289.19165,296.93118,-8.454068,-2.8016236
2006-01-17 06:00:00,57735.26,289.49374,297.19122,-7.1597824,-4.6348786
2006-01-17 12:00:00,57897.02,289.85568,297.527,-7.558615,-1.6741638
2006-01-17 18:00:00,57815.652,290.19247,297.82123,-6.2532597,-1.6225147
2006-01-18 00:00:00,57937.38,289.8482,297.6724,-6.845465,-3.0083625
2006-01-18 06:00:00,57814.5,288.57162,297.7357,-3.5861866,-3.3481667
2006-01-18 12:00:00,57878.24,289.33044,297.8102,-1.6296171,-1.8868562
2006-01-18 18:00:00,57682.26,289.1954,297.32794,-0.88045496,-2.1271589
2006-01-19 00:00:00,57756.25,289.5878,297.1423,-0.08248994,-2.2447073
2006-01-19 06:00:00,57636.957,289.8342,296.91818,0.9441332,-1.2857171
2006-01-19 12:00:00,57719.78,289.4523,297.5435,-1.3653685,-2.9970875
2006-01-19 18:00:00,57590.53,289.9277,297.74722,-4.309891,-4.2632165
2006-01-20 00:00:00,57634.77,290.06653,297.28372,-6.1504455,-5.091848
2006-01-20 06:00:00,57404.58,289.97574,297.73804,-5.976849,-3.8668063
2006-01-20 12:00:00,57508.105,289.99756,297.89517,-6.651816,-2.9991095
2006-01-20 18:00:00,57393.984,289.5861,297.46497,-6.482842,-2.010247
2006-01-21 00:00:00,57467.168,288.55185,297.36258,-7.0486336,-3.0660944
2006-01-21 06:00:00,57328.01,289.9385,297.19003,-8.808637,-2.9037275
2006-01-21 12:00:00,57486.016,290.9496,297.0079,-9.560107,-0.69890594
2006-01-21 18:00:00,57454.156,290.95273,297.50928,-8.176298,1.3907427
2006-01-22 00:00:00,57552.7,290.879,297.46198,-8.008229,1.8234144
2006-01-22 06:00:00,57416.098,290.02982,297.37115,-4.719485,1.8463112
2006-01-22 12:00:00,57558.95,289.97638,297.67233,-3.8640616,1.9938806
2006-01-22 18:00:00,57560.645,289.89865,297.49496,-3.9376068,1.4664637
2006-01-23 00:00:00,57630.73,289.06125,296.38193,-3.9658654,-0.11059168
2006-01-23 06:00:00,57415.906,287.77896,296.38986,-3.5621965,-2.6826432
2006-01-23 12:00:00,57447.094,288.32474,296.75925,-4.844109,-5.5221562
2006-01-23 18:00:00,57269.645,289.27542,296.69778,-6.185533,-2.8545735
2006-01-24 00:00:00,57247.25,287.07834,296.13406,-5.6975884,-5.8125606
2006-01-24 06:00:00,57018.27,285.13068,296.13525,-3.7023547,-7.913882
2006-01-24 12:00:00,57006.75,285.1686,296.00143,-3.7356853,-9.588074
2006-01-24 18:00:00,56768.645,285.91147,295.2003,-5.695337,-8.814988
2006-01-25 00:00:00,56829.863,284.93204,294.72455,-6.2511973,-5.403364
2006-01-25 06:00:00,56671.984,284.9207,294.42276,-2.7753203,-2.8110867
2006-01-25 12:00:00,56948.465,286.46097,294.7371,-3.2089856,-1.5253925
2006-01-25 18:00:00,56950.24,286.924,294.7587,-5.530394,2.1025877
