time,z500,t850,t2m,u10,v10
2006-01-01 00:00:00,55567.875,277.8924,289.22916,6.28928,-1.5963383
2006-01-01 06:00:00,55713.47,278.66263,287.6318,1.6610985,-1.9938908
2006-01-01 12:00:00,55956.13,280.09436,284.73373,-2.4449558,-1.1278902
2006-01-01 18:00:00,55900.69,281.67825,288.47934,-2.276305,0.25783333
2006-01-02 00:00:00,55731.812,281.38388,288.8027,-0.28118005,-1.8710696
2006-01-02 06:00:00,55421.94,280.36212,286.31845,2.131532,-1.6814255
2006-01-02 12:00:00,55068.62,278.686,282.50876,2.8540897,-3.2443755
2006-01-02 18:00:00,54780.938,276.1145,285.46024,3.8707569,-4.5340056
2006-01-03 00:00:00,54929.8,275.32407,286.92676,4.307375,-5.069409
2006-01-03 06:00:00,55247.26,276.11172,284.5665,3.0923169,-4.3887486
2006-01-03 12:00:00,55435.98,275.1911,281.4566,4.968389,-4.254987
2006-01-03 18:00:00,55554.566,273.7272,282.99826,4.103077,-1.9400029
2006-01-04 00:00:00,55550.707,275.27036,285.35522,1.7397417,2.9316394
2006-01-04 06:00:00,55543.66,278.0,284.4992,2.7360775,4.7185445
2006-01-04 12:00:00,55686.613,278.87662,283.73987,4.257794,3.70728
2006-01-04 18:00:00,55663.582,279.60187,285.35513,8.221333,5.230709
2006-01-05 00:00:00,55447.406,278.78528,286.07474,10.728272,2.9553454
2006-01-05 06:00:00,55196.676,277.7012,283.32764,7.280275,1.4675814
2006-01-05 12:00:00,55151.293,275.7129,282.32816,6.2857533,0.80541253
2006-01-05 18:00:00,55254.69,275.58676,282.10867,6.3369355,0.742161
2006-01-06 00:00:00,55521.902,276.79907,282.29395,5.291349,-0.8080533
2006-01-06 06:00:00,55871.824,279.07532,281.1772,3.8538291,2.3101094
2006-01-06 12:00:00,56020.074,280.59528,281.81665,3.4055252,5.368364
2006-01-06 18:00:00,56019.99,282.343,287.27716,2.8277397,6.04195
2006-01-07 00:00:00,56287.84,284.75876,289.2011,3.430917,5.735073
2006-01-07 06:00:00,56634.105,285.6872,286.50015,2.3141673,4.2097383
2006-01-07 12:00:00,56981.168,285.17017,286.15796,-0.07971772,5.0490513
2006-01-07 18:00:00,57069.453,287.30847,290.0648,-2.6643856,5.659281
2006-01-08 00:00:00,57232.844,289.73672,291.46414,-2.2529705,7.2515945
2006-01-08 06:00:00,57254.527,291.84485,290.1092,0.716203,5.8108554
2006-01-08 12:00:00,57209.72,288.24652,286.94846,2.2401655,6.8537903
2006-01-08 18:00:00,57114.082,286.45676,288.8863,3.1557224,7.150917
