time,z500,t850,t2m,u10,v10
1979-01-01 00:00:00,56023.344,282.27646,291.53653,5.526708,2.077791
1979-01-01 06:00:00,55735.504,280.59464,291.01056,4.186858,3.571637
1979-01-01 12:00:00,55532.48,279.93643,290.30862,0.5573681,9.282224
1979-01-01 18:00:00,55506.78,275.14795,289.31897,-1.7632259,9.656499
1979-01-02 00:00:00,55510.63,274.00534,288.66086,-3.1194017,8.090545
1979-01-02 06:00:00,55961.66,274.32327,288.7291,-2.6311305,7.3676667
1979-01-02 12:00:00,56333.02,275.83905,288.93015,-1.916169,7.713806
1979-01-02 18:00:00,56748.074,279.2766,289.2089,-4.1419797,6.211506
1979-01-03 00:00:00,56985.793,281.10867,289.73465,-6.691981,2.8599455
1979-01-03 06:00:00,57318.605,281.67795,290.7915,-6.9203973,-0.6295741
1979-01-03 12:00:00,57439.395,283.22498,291.5878,-5.642426,1.4483485
1979-01-03 18:00:00,57515.207,284.96323,291.6299,-8.367889,2.004577
1979-01-04 00:00:00,57458.668,285.06595,291.75037,-9.514945,0.5203099
1979-01-04 06:00:00,57439.395,286.39536,292.3915,-9.825282,-0.5776618
1979-01-04 12:00:00,57389.28,287.33694,292.6933,-9.246431,2.7692518
1979-01-04 18:00:00,57379.0,287.23505,292.6456,-8.977919,1.6988727
1979-01-05 00:00:00,57231.223,287.09863,292.56998,-7.0119596,2.7206237
1979-01-05 06:00:00,57231.23,287.55826,293.0193,-4.4941306,4.8444448
1979-01-05 12:00:00,57209.387,287.72678,292.9563,-2.392065,7.4815946
1979-01-05 18:00:00,57259.49,285.42368,292.24597,-2.4554198,7.7703595
1979-01-06 00:00:00,57191.395,282.90134,292.4739,-3.062727,6.8614388
1979-01-06 06:00:00,57295.48,284.77606,291.7108,-5.6307964,6.646979
1979-01-06 12:00:00,57409.84,285.42856,290.86172,-5.9480615,7.346906
1979-01-06 18:00:00,57605.156,285.27792,290.39194,-8.073396,5.249039
1979-01-07 00:00:00,57644.99,285.7006,290.34158,-7.56879,1.2672187
1979-01-07 06:00:00,57785.062,286.86514,291.09863,-5.679053,0.8765523
1979-01-07 12:00:00,57779.918,287.8709,291.8061,-4.8497567,3.365636
1979-01-07 18:00:00,57837.74,287.72757,291.91702,-5.4862685,1.5155586
1979-01-08 00:00:00,57814.61,287.81894,291.7636,-3.7781823,1.7532392
1979-01-08 06:00:00,57828.746,288.1986,292.02133,-3.780163,3.629269
1979-01-08 12:00:00,57702.816,289.7716,292.48273,-3.7979805,4.646101
1979-01-08 18:00:00,57625.72,289.82315,292.38046,-3.3668756,3.5404797
1979-01-09 00:00:00,57430.402,290.444,291.91068,-1.766687,3.8631246
1979-01-09 06:00:00,57254.36,290.8123,291.79318,-0.5364785,4.293402
1979-01-09 12:00:00,56963.95,290.00223,292.30093,2.6483068,5.1706324
1979-01-09 18:00:00,56672.26,288.8385,292.39554,4.8874784,5.053435
1979-01-10 00:00:00,56282.906,284.42563,292.3046,4.858273,3.4432201
1979-01-10 06:00:00,56194.24,282.09616,292.35416,6.723252,1.8330158
1979-01-10 12:00:00,56078.594,282.4283,291.60153,6.821011,5.3656945
1979-01-10 18:00:00,55955.24,278.78,291.39743,5.7175083,4.8963485
1979-01-11 00:00:00,55645.55,278.4446,291.0127,2.8183153,4.0234923
1979-01-11 06:00:00,55279.332,278.9822,290.974,2.6552327,3.8262472
1979-01-11 12:00:00,54784.613,279.22058,290.14505,0.62864655,4.3625293
1979-01-11 18:00:00,54938.812,278.67972,289.4819,4.2187934,5.559667
1979-01-12 00:00:00,55263.918,276.9187,290.2389,8.792417,2.8356333
1979-01-12 06:00:00,55481.074,277.94885,291.39697,10.632158,0.66482604
1979-01-12 12:00:00,55580.02,280.02615,291.48364,11.590637,1.1817135
1979-01-12 18:00:00,55740.64,280.47202,291.37064,9.4992075,2.333233
1979-01-13 00:00:00,55774.05,280.30753,291.35983,7.9574265,2.732641
1979-01-13 06:00:00,55962.95,279.58115,291.7784,8.410306,0.2930063
1979-01-13 12:00:00,56138.99,280.78506,292.13382,8.89883,-1.0986549
1979-01-13 18:00:00,56457.668,282.91394,292.49667,9.035436,-1.725913
1979-01-14 00:00:00,56556.613,284.71188,292.5411,8.400409,-4.0428805
1979-01-14 06:00:00,56661.98,286.64386,293.11417,7.875511,-5.807177
1979-01-14 12:00:00,56559.176,287.92166,293.38895,9.104722,-7.1204257
1979-01-14 18:00:00,56342.02,288.65784,293.3654,10.123837,-6.364495
1979-01-15 00:00:00,55759.918,286.37625,292.94336,11.901958,-4.691159
1979-01-15 06:00:00,55419.402,280.14798,291.08636,10.466845,1.8753535
1979-01-15 12:00:00,55284.47,277.55417,290.64462,12.013081,0.9224501
1979-01-15 18:00:00,55288.33,276.96704,289.66702,11.4493265,3.031517
1979-01-16 00:00:00,55117.426,276.38272,289.72324,10.551728,2.6077902
1979-01-16 06:00:00,55376.99,277.28943,289.96463,10.125076,0.49025133
1979-01-16 12:00:00,55789.47,278.43204,291.38794,11.906169,0.9904751
1979-01-16 18:00:00,56097.87,279.01715,290.8499,6.793537,5.906351
1979-01-17 00:00:00,56289.332,276.43958,290.29446,2.2459028,4.853728
1979-01-17 06:00:00,56498.785,277.0592,290.2265,2.5611873,1.5267574
1979-01-17 12:00:00,56507.78,278.68906,290.59625,2.968787,2.2083795
1979-01-17 18:00:00,56429.395,277.69547,290.9061,1.500752,2.7353666
1979-01-18 00:00:00,56246.926,278.255,290.96683,1.9865605,0.5910596
1979-01-18 06:00:00,56124.855,279.43942,291.33606,3.1197531,-0.9541233
1979-01-18 12:00:00,56018.2,280.52844,291.87277,6.452521,-0.9262719
1979-01-18 18:00:00,55890.984,280.95395,292.15524,6.75939,-2.377485
1979-01-19 00:00:00,55466.938,281.7766,292.29807,8.163825,-6.2216134
1979-01-19 06:00:00,54915.684,281.1509,291.09848,9.7301035,-0.40225062
1979-01-19 12:00:00,54322.02,278.41742,289.6721,11.302326,3.3301172
1979-01-19 18:00:00,54648.406,276.91708,288.44272,11.916561,6.066721
1979-01-20 00:00:00,54283.473,274.87875,286.89322,10.337902,8.713164
1979-01-20 06:00:00,54947.812,273.92294,287.563,7.59239,10.5730715
1979-01-20 12:00:00,55788.188,273.5993,288.54037,5.9672112,9.20081
1979-01-20 18:00:00,56455.094,274.3915,288.74728,3.7651608,9.922591
1979-01-21 00:00:00,56768.63,278.5494,288.67032,0.5974566,8.213756
1979-01-21 06:00:00,57082.168,281.22806,288.86533,-0.06652349,5.668394
1979-01-21 12:00:00,57391.855,285.15002,289.4098,-0.68200016,5.298488
1979-01-21 18:00:00,57728.516,287.10632,290.1439,-3.755911,4.718496
1979-01-22 00:00:00,57898.137,286.91345,290.79333,-5.317737,3.7008474
1979-01-22 06:00:00,58066.465,287.8498,291.7121,-6.966927,1.3653013
1979-01-22 12:00:00,58124.293,289.24374,292.8768,-8.954413,2.4944172
1979-01-22 18:00:00,58174.406,289.7562,293.01212,-10.532321,1.625384
1979-01-23 00:00:00,58012.5,291.47696,293.20926,-10.564494,0.36377063
1979-01-23 06:00:00,57958.53,293.0581,293.47253,-10.603101,0.737499
1979-01-23 12:00:00,57759.355,295.21136,293.69467,-9.546868,-0.27359655
1979-01-23 18:00:00,57548.613,296.0868,293.6605,-7.758597,-2.8785143
1979-01-24 00:00:00,57192.676,295.9264,293.52475,-1.1309087,-2.993796
1979-01-24 06:00:00,56906.125,295.3397,293.03296,3.5226448,0.84814376
1979-01-24 12:00:00,56523.2,294.62912,292.48593,8.058403,0.94976884
1979-01-24 18:00:00,56258.49,289.74844,292.58185,11.441657,1.2071167
1979-01-25 00:00:00,55971.94,285.0753,290.81937,10.256488,4.922851
1979-01-25 06:00:00,56076.02,278.1616,290.13586,8.077946,2.9468272
1979-01-25 12:00:00,56042.613,277.2289,290.6621,6.996721,3.4623442
1979-01-25 18:00:00,56077.312,278.05725,291.08865,5.746716,1.6636237
1979-01-26 00:00:00,55955.24,279.5519,290.82547,7.423371,0.8596142
1979-01-26 06:00:00,55982.22,279.85034,290.77975,5.1448474,4.0915127
1979-01-26 12:00:00,55910.26,279.88608,290.94403,1.7935141,3.751382
1979-01-26 18:00:00,55982.22,279.58603,290.47052,-1.6224102,5.28346
1979-01-27 00:00:00,55991.22,279.40085,290.08337,-2.957797,4.5750623
1979-01-27 06:00:00,56122.28,279.31558,290.24313,-1.0495036,5.195219
1979-01-27 12:00:00,56114.574,279.24005,290.40176,0.8768565,5.801716
1979-01-27 18:00:00,56222.516,279.38663,290.1873,0.49401072,5.874109
1979-01-28 00:00:00,56164.688,277.79617,289.7099,0.21734239,4.422349
1979-01-28 06:00:00,56132.566,277.48474,290.46716,2.4015772,3.7994664
1979-01-28 12:00:00,56049.043,278.51648,291.75223,5.293834,4.3698974
1979-01-28 18:00:00,56091.45,279.31558,291.5074,4.8308005,6.0653515
1979-01-29 00:00:00,56079.88,278.53638,291.37256,1.7378322,6.05743
1979-01-29 06:00:00,56267.49,278.9473,290.65442,-0.68596077,8.406631
1979-01-29 12:00:00,56399.84,281.6913,290.30853,-3.1280613,7.565191
1979-01-29 18:00:00,56626.0,278.5023,290.94882,-6.9166846,5.7580056
1979-01-30 00:00:00,56746.785,281.4047,290.80545,-7.5784397,4.309524
1979-01-30 06:00:00,57039.76,286.41687,291.48492,-8.000636,4.351051
1979-01-30 12:00:00,57280.06,287.56638,291.71875,-7.6323905,4.6447377
1979-01-30 18:00:00,57524.2,287.49777,291.83865,-8.417388,2.676912
1979-01-31 00:00:00,57571.75,287.4352,291.85004,-6.2833915,4.080866
1979-01-31 06:00:00,57591.02,287.9655,291.5938,-6.3487277,5.756643
1979-01-31 12:00:00,57564.043,288.83606,291.8015,-5.9067307,5.1889424
1979-01-31 18:00:00,57620.574,289.1796,291.3902,-5.181625,5.584801
1979-02-01 00:00:00,57525.49,288.69843,290.8274,-4.585451,4.747186
1979-02-01 06:00:00,57544.76,288.8312,291.06314,-4.258288,5.01874
1979-02-01 12:00:00,57521.637,288.85638,291.95865,-4.4429054,5.3211675
1979-02-01 18:00:00,57558.895,288.59448,292.35144,-5.1044135,5.08704
1979-02-02 00:00:00,57516.49,288.32852,293.10678,-4.9420657,3.627363
1979-02-02 06:00:00,57582.03,288.8235,293.55472,-5.9289966,2.051305
1979-02-02 12:00:00,57525.49,289.00906,293.8053,-4.3107476,2.7927577
1979-02-02 18:00:00,57495.938,288.61844,293.78894,-4.4283023,3.4899502
1979-02-03 00:00:00,57196.53,287.76248,293.837,-4.1132636,3.096815
1979-02-03 06:00:00,56988.363,286.29382,293.55063,-2.9597757,4.572614
1979-02-03 12:00:00,56710.812,286.42175,293.48923,-1.8575166,4.4341035
1979-02-03 18:00:00,56633.707,285.67947,293.006,-1.9354695,3.8038423
1979-02-04 00:00:00,56315.03,284.30017,292.62735,-0.44244468,3.6688879
1979-02-04 06:00:00,56358.72,284.79068,292.356,1.0275778,5.2493205
1979-02-04 12:00:00,56353.582,284.61325,291.3085,3.4558213,6.126816
1979-02-04 18:00:00,56290.613,284.60226,291.16635,1.7135768,6.804886
1979-02-05 00:00:00,56138.99,281.37503,291.1722,0.5786586,3.5631454
1979-02-05 06:00:00,56261.062,280.69736,291.57135,2.536674,3.2618372
1979-02-05 12:00:00,56390.844,281.5476,291.6223,-2.0725744,6.9791894
1979-02-05 18:00:00,56476.938,282.3203,291.56335,-1.305387,3.9213135
1979-02-06 00:00:00,56402.418,283.73984,291.87808,-0.77726394,2.1318872
1979-02-06 06:00:00,56372.855,285.9812,291.54712,3.0353634,0.8656241
1979-02-06 12:00:00,56239.22,284.85645,291.40482,5.726423,-0.8478689
1979-02-06 18:00:00,56130.0,284.33713,292.05862,8.581325,-3.2989624
1979-02-07 00:00:00,55901.27,282.65448,291.128,10.487136,2.718716
1979-02-07 06:00:00,55944.957,277.34302,289.6826,8.260833,6.441811
1979-02-07 12:00:00,56126.145,275.57266,289.45926,6.5267615,5.47197
1979-02-07 18:00:00,56316.316,275.38913,289.4369,4.5749106,4.990053
1979-02-08 00:00:00,56351.01,275.71396,289.30997,3.1640453,2.9705937
1979-02-08 06:00:00,56398.56,281.5549,289.90707,4.8053136,1.5843977
1979-02-08 12:00:00,56379.28,286.3231,290.85886,7.0989327,2.6318302
1979-02-08 18:00:00,56449.957,286.92078,291.233,6.9071364,3.5956643
1979-02-09 00:00:00,56479.51,286.66617,291.17905,6.38298,2.7687037
1979-02-09 06:00:00,56572.03,286.4246,291.53687,7.4914284,1.1833502
1979-02-09 12:00:00,56692.816,285.60397,291.9352,8.515735,2.8574893
1979-02-09 18:00:00,56826.457,282.6561,291.99863,6.8165565,5.409134
1979-02-10 00:00:00,56847.016,284.8743,291.53445,2.9227524,4.954537
1979-02-10 06:00:00,56924.113,285.31485,290.90918,2.6270168,3.2670076
1979-02-10 12:00:00,56920.26,285.6263,291.38602,2.2694213,3.9617414
1979-02-10 18:00:00,56996.074,286.049,292.10245,2.4332492,2.2717564
1979-02-11 00:00:00,56885.562,286.70883,291.9445,4.7258744,0.75689286
1979-02-11 06:00:00,56853.438,286.9435,292.00278,5.830856,2.389231
1979-02-11 12:00:00,56835.45,286.97153,292.80096,5.563087,2.948187
1979-02-11 18:00:00,56906.125,287.54242,292.69263,4.08986,4.0040884
1979-02-12 00:00:00,56879.137,286.96176,292.4434,3.741164,4.2693553
1979-02-12 06:00:00,56921.547,287.31058,292.48965,4.162618,3.4229944
1979-02-12 12:00:00,56859.863,287.81247,292.6418,3.2523968,2.4539735
1979-02-12 18:00:00,56904.844,288.1519,292.5935,1.1891872,2.6886501
1979-02-13 00:00:00,56862.438,287.90665,292.5049,0.016395608,0.2921862
1979-02-13 06:00:00,56900.99,287.7836,292.86627,2.1105382,-1.4743017
1979-02-13 12:00:00,56877.855,288.82104,293.24194,4.8063025,-1.1486527
1979-02-13 18:00:00,56796.906,288.4479,292.9091,4.31457,-0.63886553
1979-02-14 00:00:00,56533.48,287.43564,292.8093,4.9005904,-1.8600436
1979-02-14 06:00:00,56384.418,285.85898,293.0027,6.475039,-0.9128795
1979-02-14 12:00:00,56085.02,283.78897,292.0023,4.795902,5.240854
1979-02-14 18:00:00,55726.51,279.627,290.29526,1.1443892,5.794611
1979-02-15 00:00:00,55215.082,276.857,289.53024,2.3698905,2.9192286
1979-02-15 06:00:00,55017.19,277.1851,288.50082,4.2269597,2.046098
1979-02-15 12:00:00,54740.926,277.54404,288.4166,5.814283,2.8009422
1979-02-15 18:00:00,54252.63,276.6556,287.76126,7.63002,2.2938943
