time,z500,t850,t2m,u10,v10
1979-01-01 00:00:00,57267.207,285.70306,294.18323,-8.474311,-7.309448
1979-01-01 06:00:00,57116.863,286.4181,294.5217,-9.751516,-5.6929517
1979-01-01 12:00:00,57247.934,286.6946,294.09027,-9.97823,-4.834002
1979-01-01 18:00:00,57172.113,286.85782,294.52496,-10.174458,-3.3530233
1979-01-02 00:00:00,57352.01,285.57028,295.1521,-8.491364,-2.8456964
1979-01-02 06:00:00,57217.094,285.3226,295.23575,-7.8917165,-3.4538543
1979-01-02 12:00:00,57318.605,285.55484,294.86234,-8.462432,-4.732139
1979-01-02 18:00:00,57197.812,286.5411,294.52295,-8.180805,-4.180251
1979-01-03 00:00:00,57322.457,286.494,294.77374,-6.6679935,-4.4917164
1979-01-03 06:00:00,57202.957,286.26132,294.65924,-6.282186,-5.022276
1979-01-03 12:00:00,57307.043,285.8935,294.50034,-6.111183,-3.6404307
1979-01-03 18:00:00,57200.387,286.33,294.0994,-5.071778,-3.749672
1979-01-04 00:00:00,57325.03,286.7571,294.04517,-4.7740507,-4.090895
1979-01-04 06:00:00,57202.957,286.58698,294.13156,-3.9376056,-4.290916
1979-01-04 12:00:00,57337.875,286.0908,294.85294,-5.438536,-3.2103872
1979-01-04 18:00:00,57183.684,284.88934,294.5398,-6.1527114,-4.123977
1979-01-05 00:00:00,57294.188,284.2352,294.75528,-5.3006945,-3.3584921
1979-01-05 06:00:00,57184.97,284.53445,295.18942,-4.736215,-2.5083153
1979-01-05 12:00:00,57346.875,285.0956,295.41873,-5.852527,-1.7832489
1979-01-05 18:00:00,57258.215,285.26,295.02997,-6.186869,-1.2494527
1979-01-06 00:00:00,57394.418,285.3437,294.9873,-6.96542,0.17559952
1979-01-06 06:00:00,57192.676,286.45706,295.14447,-6.0544643,-0.555178
1979-01-06 12:00:00,57303.188,285.9609,294.95578,-5.921612,-3.8876126
1979-01-06 18:00:00,57082.17,285.0562,294.55496,-6.6442504,-5.35772
1979-01-07 00:00:00,57192.676,285.85248,295.13718,-6.520981,-3.7934458
1979-01-07 06:00:00,56926.688,285.91577,295.3204,-5.616404,-3.177395
1979-01-07 12:00:00,56945.957,285.5394,295.17725,-5.5550785,-4.177561
1979-01-07 18:00:00,56820.03,285.55237,294.8253,-5.52293,-4.417134
1979-01-08 00:00:00,57003.785,286.0969,295.37415,-5.6241384,-2.8197546
1979-01-08 06:00:00,56915.125,286.93576,295.5909,-4.192699,-2.3490367
1979-01-08 12:00:00,57142.562,287.25937,295.80347,-4.200396,-0.9751455
1979-01-08 18:00:00,56994.793,287.15707,295.65628,-3.4520342,-1.7872893
1979-01-09 00:00:00,57139.996,287.14856,295.92618,-2.9238794,0.072592735
1979-01-09 06:00:00,57005.066,287.74463,296.28433,-1.4300834,1.1579717
1979-01-09 12:00:00,57157.98,288.1677,296.14304,-1.9629306,1.2702633
1979-01-09 18:00:00,57043.625,287.48312,295.72855,-1.9302517,-0.0883174
1979-01-10 00:00:00,57220.95,287.07263,295.8686,-1.3855443,1.3604145
1979-01-10 06:00:00,57097.594,287.29718,296.1177,-1.8782839,0.7580083
1979-01-10 12:00:00,57337.88,287.41287,295.92838,-4.4277587,-0.011818339
1979-01-10 18:00:00,57304.47,287.12418,295.5555,-4.8976846,0.48648274
1979-01-11 00:00:00,57429.113,286.54477,295.59692,-4.201113,0.599602
1979-01-11 06:00:00,57241.51,287.0836,295.71362,-4.7037544,1.7478285
1979-01-11 12:00:00,57412.41,287.5469,295.89737,-4.1087937,2.4007714
1979-01-11 18:00:00,57214.52,287.35077,295.73984,-3.094403,2.7425127
1979-01-12 00:00:00,57345.594,286.6877,295.96072,-1.9406723,0.7372646
1979-01-12 06:00:00,57208.094,286.3182,296.08972,-1.4650623,-1.6668302
1979-01-12 12:00:00,57366.145,285.86954,294.40366,-5.368271,-5.8008385
1979-01-12 18:00:00,57246.645,285.62265,294.0503,-6.445514,-6.3147354
1979-01-13 00:00:00,57357.156,285.7713,294.8024,-8.441158,-2.957997
1979-01-13 06:00:00,57195.25,285.75302,295.48218,-8.232498,0.8902553
1979-01-13 12:00:00,57318.605,285.982,295.9099,-7.580864,2.484646
1979-01-13 18:00:00,57161.84,286.00232,295.50464,-6.802035,0.1799856
1979-01-14 00:00:00,57272.344,286.00192,295.29684,-6.5704427,-0.16325893
1979-01-14 06:00:00,57106.582,286.33243,295.14432,-5.8295245,0.42965412
1979-01-14 12:00:00,57255.64,286.17447,295.33408,-6.4011855,-1.6715564
1979-01-14 18:00:00,57166.98,285.23044,293.4032,-5.4717236,-9.258732
1979-01-15 00:00:00,57370.004,285.13986,292.069,-7.0629745,-10.682025
1979-01-15 06:00:00,57286.48,285.17517,291.54248,-7.2631664,-10.768895
