time,z500,t850,t2m,u10,v10
1979-01-01 00:00:00,50724.062,258.53552,269.72983,-1.0235157,-5.5681267
1979-01-01 06:00:00,51119.84,258.38162,269.73865,1.3188545,-4.190403
1979-01-01 12:00:00,51576.01,259.17465,268.9235,3.3585603,-1.7469441
1979-01-01 18:00:00,51825.293,261.99582,268.35806,2.684433,2.8222475
1979-01-02 00:00:00,51982.062,264.09872,270.0657,4.7157245,0.8434941
1979-01-02 06:00:00,52093.855,264.79752,274.03098,7.0189934,-4.9258447
1979-01-02 12:00:00,52421.527,262.88992,272.9441,0.30716833,-3.6467445
1979-01-02 18:00:00,52827.582,264.41016,270.49152,2.0031285,0.6079998
1979-01-03 00:00:00,53004.906,265.64005,270.23227,2.3901825,2.4586248
1979-01-03 06:00:00,53019.043,266.46756,269.59488,2.5198605,3.075773
1979-01-03 12:00:00,52866.137,268.02515,270.55826,0.33538055,3.3593495
1979-01-03 18:00:00,52645.113,268.14453,271.0782,-1.76273,3.5423906
1979-01-04 00:00:00,52395.83,266.7794,272.4085,-3.631429,3.0883398
1979-01-04 06:00:00,52339.293,264.93515,274.35556,-5.1128263,1.8351927
1979-01-04 12:00:00,52496.05,265.36313,273.65732,-5.9747887,1.1929108
1979-01-04 18:00:00,52736.355,264.9567,272.81937,-5.090059,0.15886657
1979-01-05 00:00:00,52970.215,265.20316,272.48416,-3.741309,-0.23289585
1979-01-05 06:00:00,53110.277,264.66028,272.7059,-2.526939,0.23399544
1979-01-05 12:00:00,53218.22,265.83252,272.52466,-0.15982087,1.8010432
1979-01-05 18:00:00,53596.004,266.52603,269.7876,1.8838445,2.3643723
1979-01-06 00:00:00,53827.3,267.14972,269.19617,2.433986,4.372085
1979-01-06 06:00:00,54205.082,269.37888,270.1182,3.512986,4.9173822
1979-01-06 12:00:00,54594.438,271.0863,272.68686,3.2865446,4.676424
1979-01-06 18:00:00,54855.293,274.62253,274.98178,4.348469,5.2042375
1979-01-07 00:00:00,54886.13,275.78543,277.7267,5.5106206,5.4766135
1979-01-07 06:00:00,54810.312,276.22195,279.4399,6.168167,5.3542213
1979-01-07 12:00:00,54713.938,275.6478,281.3906,5.6407933,3.2732928
1979-01-07 18:00:00,54455.656,270.932,278.72736,3.9205806,0.83721066
1979-01-08 00:00:00,54138.27,269.23718,276.31442,2.5691082,1.3756784
1979-01-08 06:00:00,53730.926,268.7272,276.3032,3.6164315,2.3488004
1979-01-08 12:00:00,53412.25,270.124,277.27402,3.9344394,2.6684387
1979-01-08 18:00:00,52981.78,269.32407,275.91193,3.0930176,2.4676402
1979-01-09 00:00:00,52413.816,267.84933,274.57333,3.4773493,0.49981466
1979-01-09 06:00:00,51763.613,266.60074,274.03183,3.7852106,1.4303175
1979-01-09 12:00:00,51465.5,266.47406,275.26602,4.6498957,2.0766973
1979-01-09 18:00:00,51275.316,266.3096,273.26187,2.7482817,3.9814155
1979-01-10 00:00:00,51069.72,267.8936,274.16068,-1.8755795,8.862049
1979-01-10 06:00:00,50107.27,268.85754,275.78226,6.4441037,6.799151
1979-01-10 12:00:00,49625.395,268.79907,275.81644,7.274637,1.1620394
1979-01-10 18:00:00,49455.78,267.9675,273.54083,6.696531,1.0442924
1979-01-11 00:00:00,49616.406,267.78925,274.74722,9.264353,-3.149802
1979-01-11 06:00:00,49882.395,267.61017,275.7903,9.436597,-7.1124997
1979-01-11 12:00:00,50300.02,267.61667,277.07956,6.0325494,-10.018478
1979-01-11 18:00:00,50688.082,267.81442,273.63278,5.0616975,-3.2525234
1979-01-12 00:00:00,50808.875,266.792,271.94873,3.8705902,-1.5568002
1979-01-12 06:00:00,51106.99,266.37985,273.57803,3.57634,-4.8621902
1979-01-12 12:00:00,51586.293,265.76065,275.91672,2.2854998,-5.7503476
1979-01-12 18:00:00,51874.125,265.97787,273.5155,3.9871519,-3.5994813
1979-01-13 00:00:00,52051.45,265.67294,271.00967,4.4647827,-2.9222305
1979-01-13 06:00:00,52574.438,265.58118,271.2781,4.4048934,-2.288417
1979-01-13 12:00:00,53168.105,265.93402,272.49576,3.362025,-0.765353
1979-01-13 18:00:00,53571.59,266.77737,269.3876,2.2807975,1.0098702
1979-01-14 00:00:00,53836.293,267.11237,268.48227,1.8115813,2.1318834
1979-01-14 06:00:00,54129.27,268.06534,271.1626,0.7994003,3.0205877
1979-01-14 12:00:00,54463.363,270.06104,274.01138,-0.43575796,2.8859024
1979-01-14 18:00:00,54743.49,271.85696,274.1413,-1.0626172,3.1858704
1979-01-15 00:00:00,54999.207,272.77017,274.36685,-0.8057359,2.940541
1979-01-15 06:00:00,55240.78,272.46158,274.79788,-0.18778579,3.1798604
1979-01-15 12:00:00,55448.95,272.1741,275.73557,0.78331405,3.3934994
1979-01-15 18:00:00,55562.027,271.87564,276.1069,1.5871196,3.3172777
1979-01-16 00:00:00,55447.668,271.41968,276.2733,1.294849,3.515071
1979-01-16 06:00:00,55267.77,270.31158,277.1299,1.7826265,4.8381557
1979-01-16 12:00:00,54891.27,270.8508,278.52756,3.0462444,3.9338791
1979-01-16 18:00:00,54225.645,269.30417,277.46915,2.524315,-2.0439072
1979-01-17 00:00:00,53432.812,266.54105,276.2875,0.5306401,-5.2075086
1979-01-17 06:00:00,53317.168,267.03967,277.02136,-4.3790574,-5.6550026
