time,z500,t850,t2m,u10,v10
1979-01-01 00:00:00,54059.887,274.614,280.32983,3.432556,-0.19574101
1979-01-01 06:00:00,54043.176,274.03824,280.46487,4.7741294,-0.72300786
1979-01-01 12:00:00,54127.984,274.08533,280.32138,4.423207,-1.8906447
1979-01-01 18:00:00,54062.453,273.6456,276.92087,2.2874796,-1.3469862
1979-01-02 00:00:00,53842.72,272.60733,274.72372,1.0716249,-1.7693459
1979-01-02 06:00:00,53846.574,270.9446,274.3921,0.22871797,-1.6297431
1979-01-02 12:00:00,53985.355,270.0801,277.04266,0.5682567,-0.14000893
1979-01-02 18:00:00,54296.324,269.588,272.33432,-0.8037564,-1.3603725
1979-01-03 00:00:00,54527.613,269.534,269.8208,-1.0094098,-1.0628624
1979-01-03 06:00:00,54539.188,269.56284,272.409,-2.2873812,-1.2098421
1979-01-03 12:00:00,54390.125,271.12527,272.89877,-3.3965733,-1.3732127
1979-01-03 18:00:00,53971.22,273.05603,273.9045,-2.7610521,-1.7185317
1979-01-04 00:00:00,53155.25,274.47556,274.68356,-0.28925148,-1.1773316
1979-01-04 06:00:00,52891.832,273.87744,275.8842,0.1962986,-0.35036945
1979-01-04 12:00:00,52983.062,274.1836,276.64252,0.46629605,-0.94976026
1979-01-04 18:00:00,53121.844,274.24777,273.04443,-0.21154387,-1.3661097
1979-01-05 00:00:00,53260.625,273.48764,271.6661,-0.11082045,-1.3385168
1979-01-05 06:00:00,53453.37,273.15103,271.45456,-0.3132566,-1.2696718
1979-01-05 12:00:00,53578.01,273.75363,276.16086,-0.68744165,-1.0833527
1979-01-05 18:00:00,53865.844,273.97653,271.18958,0.0010391871,-1.1745996
1979-01-06 00:00:00,54133.125,273.93307,269.89423,0.06117614,-1.0945536
1979-01-06 06:00:00,54519.906,274.34805,270.8387,0.013908069,-1.391517
1979-01-06 12:00:00,54906.688,275.1902,279.16156,0.6093376,-0.56209594
1979-01-06 18:00:00,55344.87,275.26205,271.12378,-0.22292773,-1.4751145
1979-01-07 00:00:00,55669.97,275.61694,268.71976,-0.19422023,-2.1712162
1979-01-07 06:00:00,55806.176,275.58527,269.8318,-0.29519096,-1.0240694
1979-01-07 12:00:00,55729.082,273.99356,275.1961,-1.5387629,-0.57712144
1979-01-07 18:00:00,55618.574,273.77026,275.99167,-0.98367196,-1.1480999
1979-01-08 00:00:00,55567.17,274.19376,275.8405,-0.23233159,-1.5240165
1979-01-08 06:00:00,55383.418,276.30234,277.13068,0.06290849,-1.67564
1979-01-08 12:00:00,55161.113,276.59387,277.54776,0.29182467,-1.52347
1979-01-08 18:00:00,54904.12,276.61255,276.96933,0.56602925,-1.3038216
1979-01-09 00:00:00,54607.285,277.02997,274.75513,0.4024469,-1.3947951
1979-01-09 06:00:00,54462.082,277.4149,276.19147,1.3438497,-2.0340722
1979-01-09 12:00:00,54399.113,277.10507,280.3404,3.031643,-1.5354909
1979-01-09 18:00:00,54261.625,275.5536,274.96652,2.3510811,-2.2354171
1979-01-10 00:00:00,54179.387,273.36664,269.0328,1.808364,-2.186242
1979-01-10 06:00:00,54030.33,271.89514,271.22104,1.6326555,-1.3177541
1979-01-10 12:00:00,53891.55,271.63327,276.86783,2.6443417,0.08018652
1979-01-10 18:00:00,53909.543,273.4255,276.1016,1.9773908,-0.67082757
1979-01-11 00:00:00,53694.95,274.47717,278.50684,3.4699252,-0.7320239
1979-01-11 06:00:00,53435.387,274.7488,279.91135,5.438357,-0.5683794
1979-01-11 12:00:00,53328.73,274.59085,279.84402,5.032495,-1.1707748
1979-01-11 18:00:00,53392.98,274.5486,277.5216,4.0777287,-0.4233128
1979-01-12 00:00:00,53511.2,273.74344,277.33386,3.8134232,-0.4902455
1979-01-12 06:00:00,53860.707,274.64404,278.09586,3.7676399,-0.93910533
1979-01-12 12:00:00,54189.668,274.7212,280.45346,5.366589,-1.7048718
1979-01-12 18:00:00,54446.66,274.54092,277.02573,3.307085,-1.0431929
1979-01-13 00:00:00,54567.45,275.11304,276.39584,2.298616,-1.2232281
1979-01-13 06:00:00,54743.49,275.19952,279.25677,1.9372997,-1.030899
1979-01-13 12:00:00,54956.8,276.02744,282.2224,1.9615523,-0.20557594
1979-01-13 18:00:00,55137.99,276.13464,279.5001,0.9142296,-1.0237957
1979-01-14 00:00:00,55220.223,275.06027,276.87296,-1.0955316,0.16733551
1979-01-14 06:00:00,55379.562,274.94656,276.96606,-0.55553657,0.70252514
