time,z500,t850,t2m,u10,v10
1979-01-01 00:00:00,57436.824,289.8455,299.4042,1.4724957,-1.0574646
1979-01-01 06:00:00,57340.45,290.91418,299.6287,3.5734456,-0.5482921
1979-01-01 12:00:00,57462.52,289.9921,299.84567,1.5460576,-1.1301188
1979-01-01 18:00:00,57352.01,289.73953,298.75284,0.22287627,-1.4063176
1979-01-02 00:00:00,57492.074,289.84958,298.88403,0.62668544,0.41147676
1979-01-02 06:00:00,57366.152,290.08182,298.91412,2.017397,0.96027535
1979-01-02 12:00:00,57467.668,290.457,299.29834,0.67311716,-1.0360882
1979-01-02 18:00:00,57391.848,289.86984,298.7225,1.2421489,-0.08478889
1979-01-03 00:00:00,57530.625,289.57632,298.78586,1.4450426,-0.1929392
1979-01-03 06:00:00,57395.707,290.70795,299.26962,3.5652683,-1.0642365
1979-01-03 12:00:00,57501.074,290.31247,299.1083,0.7588162,-1.7450725
1979-01-03 18:00:00,57379.0,289.77933,298.18262,1.4299784,-1.2443227
1979-01-04 00:00:00,57504.926,289.51376,298.57297,1.4744757,-0.5353659
1979-01-04 06:00:00,57391.855,290.21988,299.25864,2.560385,-0.7976365
1979-01-04 12:00:00,57502.355,289.9401,298.1018,-0.109275095,-1.0957086
1979-01-04 18:00:00,57364.863,289.67618,297.93384,1.4324404,-0.9817798
1979-01-05 00:00:00,57452.24,289.77158,298.48346,1.5286895,-1.2117862
1979-01-05 06:00:00,57344.3,290.75626,299.5208,2.476987,0.57979304
1979-01-05 12:00:00,57481.797,290.3904,299.47134,-1.1343275,0.5465248
1979-01-05 18:00:00,57413.69,290.1549,299.10205,-0.65770966,0.13950165
1979-01-06 00:00:00,57576.887,290.3104,299.06683,-0.03509422,-1.3573025
1979-01-06 06:00:00,57476.66,290.80746,299.8203,2.3786643,-0.7659486
1979-01-06 12:00:00,57642.42,290.24872,299.6027,0.4366295,-1.1691467
1979-01-06 18:00:00,57495.938,289.92264,298.43912,0.6805408,0.043026775
1979-01-07 00:00:00,57638.562,290.16544,299.2996,-0.7243003,0.46624577
1979-01-07 06:00:00,57434.254,290.37173,299.9199,1.7408934,0.67981625
1979-01-07 12:00:00,57562.75,290.27426,300.00293,0.65116686,-0.477937
1979-01-07 18:00:00,57485.656,290.2353,299.18988,0.1341929,-0.8308232
1979-01-08 00:00:00,57606.44,290.39078,299.4171,0.51506406,-0.98955727
1979-01-08 06:00:00,57387.996,290.7932,300.18265,3.3074129,-1.2005991
1979-01-08 12:00:00,57517.78,290.51224,300.45178,1.2178606,-1.789806
1979-01-08 18:00:00,57375.145,290.50287,299.34177,-0.1070145,-0.05559179
1979-01-09 00:00:00,57481.797,290.33438,299.27185,1.172113,-1.1565691
1979-01-09 06:00:00,57367.434,291.19315,299.94226,3.8149827,-1.0905612
1979-01-09 12:00:00,57503.645,290.49033,300.4617,1.9989386,-0.84757584
1979-01-09 18:00:00,57409.844,290.49924,299.02652,-2.1421773,-1.041831
1979-01-10 00:00:00,57547.332,290.83826,299.13977,-0.23600264,-1.106903
1979-01-10 06:00:00,57366.152,291.2764,300.0126,2.3566217,1.3877935
1979-01-10 12:00:00,57498.5,290.03516,300.6776,1.7630864,1.8384207
1979-01-10 18:00:00,57432.97,290.28403,299.33087,-1.0572789,-0.8240454
1979-01-11 00:00:00,57580.74,290.0168,299.3007,1.6954732,-0.22991504
1979-01-11 06:00:00,57423.98,291.06198,299.74948,3.1789916,1.2700843
1979-01-11 12:00:00,57547.332,290.22354,300.19916,1.6388963,0.97736454
1979-01-11 18:00:00,57456.098,290.07086,299.27847,-1.3258098,0.69542223
1979-01-12 00:00:00,57569.176,289.89948,299.57663,-0.60676867,1.3999485
1979-01-12 06:00:00,57474.094,291.0031,299.9866,2.683028,2.2306445
